<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADBG.US,D,20250811,000000,10.16,10.64,9.971,10.035,140445,0
ADBG.US,D,20250812,000000,10.04,10.35,9.8367,10.322,108431,0
ADBG.US,D,20250813,000000,10.45,11.127,10.3478,11.108,192559,0
ADBG.US,D,20250814,000000,11.07,11.12,10.79,10.99,101056,0
ADBG.US,D,20250815,000000,11,11.48,10.98,11.3269,180724,0
ADBG.US,D,20250818,000000,11.41,11.5448,11.22,11.4859,143589,0
ADBG.US,D,20250819,000000,11.57,11.92,11.52,11.7022,196936,0
ADBG.US,D,20250820,000000,11.74,11.78,11.2,11.2117,176999,0
ADBG.US,D,20250821,000000,11.19,11.234,10.8,11.2052,79148,0
ADBG.US,D,20250822,000000,11.4073,11.78,11.27,11.7247,84001,0
ADBG.US,D,20250825,000000,11.85,11.885,11.7,11.8329,67272,0
ADBG.US,D,20250826,000000,11.75,11.755,11.2,11.25,78724,0
ADBG.US,D,20250827,000000,11.33,11.59,11.3,11.3597,92853,0
ADBG.US,D,20250828,000000,11.42,11.42,10.9,11.1914,144868,0
ADBG.US,D,20250829,000000,11.1566,11.35,11.1566,11.3257,77814,0
ADBG.US,D,20250902,000000,10.98,11.08,10.4,10.6281,255611,0
ADBG.US,D,20250903,000000,10.66,10.7954,10.512,10.7949,175416,0
ADBG.US,D,20250904,000000,10.4,10.56,9.8,10.56,403334,0
ADBG.US,D,20250905,000000,10.68,11.18,10.6,10.801,224350,0
ADBG.US,D,20250908,000000,10.86,11.4385,10.54,11.43,303555,0
ADBG.US,D,20250909,000000,11.64,11.64,11.0601,11.15,298446,0
ADBG.US,D,20250910,000000,11.285,11.44,10.7695,10.9,733942,0
ADBG.US,D,20250911,000000,11.19,11.19,10.68,10.94,4500355,0
ADBG.US,D,20250912,000000,11.54,11.86,10.32,10.79,3851501,0
ADBG.US,D,20250915,000000,10.89,11.325,10.5333,10.66,1772824,0
ADBG.US,D,20250916,000000,10.87,11.25,10.7306,11,1291091,0
ADBG.US,D,20250917,000000,11.01,11.7635,11.01,11.58,1116028,0
ADBG.US,D,20250918,000000,11.91,12.1339,11.82,11.91,1173011,0
ADBG.US,D,20250919,000000,12,12.08,11.59,11.79,598601,0
