<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGIX.US,D,20240903,000000,24.48,24.48,23.5279,23.5279,1827,0
AGIX.US,D,20240904,000000,23.4363,23.4363,23.4363,23.4363,226,0
AGIX.US,D,20240905,000000,23.52,23.61,23.5,23.5024,654,0
AGIX.US,D,20240906,000000,23.5,23.5,22.7943,22.7943,1021,0
AGIX.US,D,20240909,000000,23.16,23.2206,23.06,23.2206,1197,0
AGIX.US,D,20240910,000000,23.38,23.5534,23.38,23.5534,276,0
AGIX.US,D,20240911,000000,23.58,24.26,23.58,24.2548,1030,0
AGIX.US,D,20240912,000000,24.5325,24.5325,24.5325,24.5325,190,0
AGIX.US,D,20240913,000000,24.58,24.65,24.58,24.6284,337,0
AGIX.US,D,20240916,000000,24.63,24.63,24.3413,24.5362,3444,0
AGIX.US,D,20240917,000000,24.67,24.67,24.42,24.4833,3622,0
AGIX.US,D,20240918,000000,24.3917,24.3978,24.3917,24.3978,993,0
AGIX.US,D,20240919,000000,24.9,25.19,24.9,25.09,5207,0
AGIX.US,D,20240920,000000,25.0745,25.0745,25.0745,25.0745,168,0
AGIX.US,D,20240923,000000,25.1,25.1973,25.1,25.1973,4895,0
AGIX.US,D,20240924,000000,25.09,25.37,25.04,25.3466,2744,0
AGIX.US,D,20240925,000000,25.48,25.48,25.41,25.4208,5059,0
AGIX.US,D,20240926,000000,25.73,25.73,25.435,25.629,2554,0
AGIX.US,D,20240927,000000,25.71,25.71,25.3798,25.3798,4669,0
AGIX.US,D,20240930,000000,25.31,25.4028,25.24,25.4028,3125,0
AGIX.US,D,20241001,000000,25.2,25.2,24.7999,24.8916,3916,0
AGIX.US,D,20241002,000000,24.98,25.1199,24.98,25.085,4865,0
AGIX.US,D,20241003,000000,25.17,25.17,25.03,25.1023,595,0
AGIX.US,D,20241004,000000,25.5,25.5451,25.23,25.5451,1223,0
AGIX.US,D,20241007,000000,25.47,25.53,25.3271,25.345,5484,0
AGIX.US,D,20241008,000000,25.69,25.7494,25.68,25.7494,762,0
AGIX.US,D,20241009,000000,25.92,26.092,25.92,26.092,1939,0
AGIX.US,D,20241010,000000,26.14,26.31,26.14,26.2624,927,0
AGIX.US,D,20241011,000000,26.26,26.3645,26.26,26.345,3380,0
AGIX.US,D,20241014,000000,26.7,26.7,26.49,26.595,550,0
AGIX.US,D,20241015,000000,26.59,26.59,25.86,26.0659,3006,0
AGIX.US,D,20241016,000000,26.16,26.16,25.97,26.0692,4593,0
AGIX.US,D,20241017,000000,26.37,26.44,26.2673,26.2673,1521,0
AGIX.US,D,20241018,000000,26.2853,26.2853,26.2853,26.2853,23,0
AGIX.US,D,20241021,000000,26.41,26.41,26.22,26.3466,461,0
AGIX.US,D,20241022,000000,26.26,26.33,26.21,26.308,974,0
AGIX.US,D,20241023,000000,26.2,26.2,25.77,25.8044,1853,0
AGIX.US,D,20241024,000000,26.14,26.16,26.07,26.16,816,0
AGIX.US,D,20241025,000000,26.6,26.61,26.41,26.41,3766,0
AGIX.US,D,20241028,000000,26.61,26.61,26.415,26.415,11308,0
AGIX.US,D,20241029,000000,26.42,26.72,26.4,26.72,10789,0
AGIX.US,D,20241030,000000,26.69,26.77,26.4711,26.4711,4807,0
AGIX.US,D,20241031,000000,25.89,25.89,25.77,25.79,729,0
AGIX.US,D,20241101,000000,25.892,26.1,25.892,25.9802,920,0
AGIX.US,D,20241104,000000,25.9,26.03,25.85,25.89,8457,0
AGIX.US,D,20241105,000000,26.23,26.58,26.23,26.45,5304,0
AGIX.US,D,20241106,000000,27.16,27.335,27.16,27.31,562,0
AGIX.US,D,20241107,000000,27.32,27.93,27.32,27.87,2026,0
AGIX.US,D,20241108,000000,27.87,27.9,27.73,27.9,6114,0
AGIX.US,D,20241111,000000,27.99,28,27.7928,28,7920,0
AGIX.US,D,20241112,000000,27.96,28.06,27.85,27.93,3141,0
AGIX.US,D,20241113,000000,27.98,28.289,27.98,28.03,24689,0
AGIX.US,D,20241114,000000,28.09,28.09,27.78,27.78,2586,0
AGIX.US,D,20241115,000000,28.12,28.12,26.985,27.14,2386,0
AGIX.US,D,20241118,000000,27.21,27.29,27.04,27.12,2696,0
AGIX.US,D,20241119,000000,27.15,27.61,27.13,27.61,1250,0
AGIX.US,D,20241120,000000,27.61,27.61,27.195,27.56,1531,0
AGIX.US,D,20241121,000000,27.85,28.11,27.7893,28.1,1644,0
AGIX.US,D,20241122,000000,28.23,28.3,28.19,28.3,6863,0
AGIX.US,D,20241125,000000,28.66,28.72,28.26,28.33,7764,0
AGIX.US,D,20241126,000000,28.43,28.48,28.4,28.4651,4121,0
AGIX.US,D,20241127,000000,28.14,28.18,27.9429,28.0206,6321,0
AGIX.US,D,20241129,000000,28.07,28.255,28.07,28.23,705,0
AGIX.US,D,20241202,000000,28.27,28.71,28.27,28.63,15334,0
AGIX.US,D,20241203,000000,28.63,28.89,28.53,28.89,5429,0
AGIX.US,D,20241204,000000,29.48,29.9,29.455,29.9,9076,0
AGIX.US,D,20241205,000000,29.91,29.99,29.845,29.87,7374,0
AGIX.US,D,20241206,000000,29.96,30.15,29.96,30.13,2895,0
AGIX.US,D,20241209,000000,30.23,30.23,29.65,29.81,30156,0
AGIX.US,D,20241210,000000,29.81,29.9398,29.25,29.39,8155,0
AGIX.US,D,20241211,000000,29.54,29.9925,29.54,29.99,6620,0
AGIX.US,D,20241212,000000,29.85,29.95,29.79,29.79,4333,0
AGIX.US,D,20241213,000000,30.06,30.06,29.66,29.85,8951,0
AGIX.US,D,20241216,000000,30.01,30.37,30,30.36,12987,0
AGIX.US,D,20241217,000000,30.25,30.25,29.96,30.09,12409,0
AGIX.US,D,20241218,000000,30.11,30.15,28.81,28.87,39095,0
AGIX.US,D,20241219,000000,29.22,29.27,28.81,28.87,8753,0
AGIX.US,D,20241220,000000,28.71,29.41,28.54,29.16,4011,0
AGIX.US,D,20241223,000000,29.26,29.26,28.97,29.21,26221,0
AGIX.US,D,20241224,000000,29.4995,29.64,29.48,29.64,2101,0
AGIX.US,D,20241226,000000,29.64,29.64,29.3467,29.57,3450,0
AGIX.US,D,20241227,000000,29.51,29.51,28.865,29.13,8069,0
AGIX.US,D,20241230,000000,28.75,28.84,28.34,28.71,13288,0
AGIX.US,D,20241231,000000,29.01,29.01,28.4,28.43,4752,0
AGIX.US,D,20250102,000000,28.62,28.76,28.2,28.4,17592,0
AGIX.US,D,20250103,000000,28.68,29.09,28.6697,29.09,10548,0
AGIX.US,D,20250106,000000,29.58,29.74,29.32,29.57,15119,0
AGIX.US,D,20250107,000000,29.59,29.59,28.83,28.88,12499,0
AGIX.US,D,20250108,000000,28.85,28.97,28.6495,28.85,8880,0
AGIX.US,D,20250110,000000,28.56,28.64,28.215,28.55,11539,0
AGIX.US,D,20250113,000000,28.05,28.24,27.9,28.24,8844,0
AGIX.US,D,20250114,000000,28.42,28.63,28.23,28.34,6881,0
AGIX.US,D,20250115,000000,29.09,29.12,28.79,29.08,48687,0
AGIX.US,D,20250116,000000,29.24,29.45,29.1,29.45,7775,0
AGIX.US,D,20250117,000000,29.59,29.62,29.35,29.5,5904,0
AGIX.US,D,20250121,000000,29.76,30.12,29.4863,30.12,11025,0
AGIX.US,D,20250122,000000,30.22,30.549,30.185,30.45,11680,0
AGIX.US,D,20250123,000000,30.33,30.48,30.11,30.48,14666,0
AGIX.US,D,20250124,000000,30.55,30.67,30.322,30.345,28991,0
AGIX.US,D,20250127,000000,29.02,29.7195,28.84,29.25,94993,0
AGIX.US,D,20250128,000000,30.21,30.27,29.185,30.27,7238,0
AGIX.US,D,20250129,000000,30.29,30.29,29.85,30.07,3997,0
AGIX.US,D,20250130,000000,30.07,30.1295,29.76,30.01,3409,0
AGIX.US,D,20250131,000000,30.28,30.28,30.04,30.1,1174,0
AGIX.US,D,20250203,000000,29.44,29.97,29.27,29.79,40935,0
AGIX.US,D,20250204,000000,29.99,30.39,29.99,30.39,4289,0
AGIX.US,D,20250205,000000,30.28,30.65,30.28,30.65,3611,0
AGIX.US,D,20250206,000000,30.8,31,30.42,30.62,49849,0
AGIX.US,D,20250207,000000,30.68,30.948,30.4329,30.5,15808,0
AGIX.US,D,20250210,000000,30.63,31.06,30.63,31.05,20903,0
AGIX.US,D,20250211,000000,30.76,30.93,30.62,30.82,14810,0
AGIX.US,D,20250212,000000,30.38,30.8792,30.38,30.85,6942,0
AGIX.US,D,20250213,000000,30.95,31.31,30.71,31.3,9240,0
AGIX.US,D,20250214,000000,31.31,31.6,31,31.3,12779,0
AGIX.US,D,20250218,000000,31.49,31.51,31.31,31.51,19879,0
AGIX.US,D,20250219,000000,31.3,31.65,31.09,31.21,24567,0
AGIX.US,D,20250220,000000,31,31,30.255,30.63,13203,0
AGIX.US,D,20250221,000000,30.69,30.69,29.66,29.67,13201,0
AGIX.US,D,20250224,000000,29.71,29.71,28.83,29.06,21087,0
AGIX.US,D,20250225,000000,29,29,28.1407,28.47,51559,0
AGIX.US,D,20250226,000000,28.79,29.19,28.73,28.84,11908,0
AGIX.US,D,20250227,000000,29.13,29.17,27.84,27.85,27158,0
AGIX.US,D,20250228,000000,27.719,28.15,27.5,28.15,44369,0
AGIX.US,D,20250303,000000,28.21,28.47,27.01,27.1002,66400,0
AGIX.US,D,20250304,000000,26.94,27.58,26.3,27.17,32210,0
AGIX.US,D,20250305,000000,27.33,27.75,27.0189,27.71,34397,0
AGIX.US,D,20250306,000000,27,27.2613,26.3,26.3,11580,0
AGIX.US,D,20250307,000000,26.31,26.505,25.6595,26.3563,14656,0
