<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWI.US,D,20120522,000000,33.1055,33.2449,32.7004,32.8927,763591,0
ACWI.US,D,20120523,000000,32.6307,32.8016,32.2395,32.7617,879942,0
ACWI.US,D,20120524,000000,32.8464,32.8546,32.456,32.6939,698157,0
ACWI.US,D,20120525,000000,32.6373,32.7236,32.4912,32.5545,1183894,0
ACWI.US,D,20120529,000000,33.0174,33.1206,32.8016,33.0174,389699,0
ACWI.US,D,20120530,000000,32.6243,32.6373,32.3472,32.3937,1353384,0
ACWI.US,D,20120531,000000,32.4912,32.5944,32.0862,32.4318,1028057,0
ACWI.US,D,20120601,000000,31.8957,31.9784,31.6141,31.6225,1227467,0
ACWI.US,D,20120604,000000,31.757,31.8548,31.4599,31.7117,1566923,0
ACWI.US,D,20120605,000000,31.7218,31.9636,31.6986,31.9413,902888,0
ACWI.US,D,20120606,000000,32.2284,32.7971,32.22,32.7971,1489513,0
ACWI.US,D,20120607,000000,33.1818,33.2302,32.7888,32.8425,2353572,0
ACWI.US,D,20120608,000000,32.5769,32.8984,32.455,32.8732,454134,0
ACWI.US,D,20120611,000000,33.1269,33.204,32.4402,32.4625,686087,0
ACWI.US,D,20120612,000000,32.6707,32.9449,32.4625,32.9319,554950,0
ACWI.US,D,20120613,000000,32.7534,33.0174,32.6177,32.6875,254086,0
ACWI.US,D,20120614,000000,32.7079,33.0934,32.6373,32.9932,306127,0
ACWI.US,D,20120615,000000,33.1363,33.4068,33.1045,33.376,830208,0
ACWI.US,D,20120618,000000,33.3136,33.4811,33.204,33.404,776442,0
ACWI.US,D,20120619,000000,33.6343,34.0246,33.6195,33.8657,1225947,0
ACWI.US,D,20120620,000000,33.8805,34.1249,33.6808,33.901,1796652,0
ACWI.US,D,20120621,000000,34.0154,34.0154,33.0062,33.0349,927970,0
ACWI.US,D,20120622,000000,33.338,33.338,33.0934,33.2598,611984,0
ACWI.US,D,20120625,000000,32.9217,32.9217,32.5695,32.6558,1273227,0
ACWI.US,D,20120626,000000,32.7803,32.9579,32.5695,32.8425,874359,0
ACWI.US,D,20120627,000000,33.0062,33.1753,32.9217,33.1363,940022,0
ACWI.US,D,20120628,000000,32.8808,33.1045,32.7172,33.0851,1947588,0
ACWI.US,D,20120629,000000,33.9297,34.0851,33.8211,34.0776,702276,0
ACWI.US,D,20120702,000000,34.1863,34.3043,33.9614,34.2801,1854071,0
ACWI.US,D,20120703,000000,34.296,34.6259,34.282,34.6118,551002,0
ACWI.US,D,20120705,000000,34.2644,34.4261,34.1788,34.3043,376197,0
ACWI.US,D,20120706,000000,33.9763,34.0154,33.744,33.9122,297091,0
ACWI.US,D,20120709,000000,33.7654,33.8518,33.6492,33.836,326635,0
ACWI.US,D,20120710,000000,34.0544,34.0618,33.5024,33.6111,794902,0
ACWI.US,D,20120711,000000,33.7282,33.7738,33.4791,33.6492,2671018,0
ACWI.US,D,20120712,000000,33.363,33.5024,33.1045,33.376,1107042,0
ACWI.US,D,20120713,000000,33.4235,33.8983,33.4235,33.8685,1060313,0
ACWI.US,D,20120716,000000,33.8927,33.9047,33.6334,33.8211,772814,0
ACWI.US,D,20120717,000000,33.9297,34.0618,33.5722,34.0003,731671,0
ACWI.US,D,20120718,000000,33.8983,34.3043,33.8601,34.2477,1174288,0
ACWI.US,D,20120719,000000,34.3964,34.5421,34.2867,34.4345,519154,0
ACWI.US,D,20120720,000000,34.1091,34.1129,33.9297,33.9448,1003999,0
ACWI.US,D,20120723,000000,33.2208,33.4791,33.0851,33.4068,1195592,0
ACWI.US,D,20120724,000000,33.4151,33.4317,32.9056,33.1138,154446,0
ACWI.US,D,20120725,000000,33.2598,33.363,33.0155,33.1753,703664,0
ACWI.US,D,20120726,000000,33.7961,33.9911,33.7106,33.9122,251729,0
ACWI.US,D,20120727,000000,34.1788,34.7421,34.1482,34.6045,1123517,0
ACWI.US,D,20120730,000000,34.5033,34.7188,34.4799,34.5878,574221,0
ACWI.US,D,20120731,000000,34.5794,34.69,34.349,34.3574,1673407,0
ACWI.US,D,20120801,000000,34.559,34.6194,34.3183,34.3183,988166,0
ACWI.US,D,20120802,000000,34.0544,34.2801,33.744,33.9911,966716,0
ACWI.US,D,20120803,000000,34.6817,34.9455,34.5878,34.8144,667958,0
ACWI.US,D,20120806,000000,34.9528,35.1582,34.924,35.0096,1188064,0
ACWI.US,D,20120807,000000,35.1936,35.4528,35.189,35.2894,926115,0
ACWI.US,D,20120808,000000,35.1324,35.4063,35.1324,35.2894,415379,0
ACWI.US,D,20120809,000000,35.2586,35.4528,35.2503,35.3747,128591,0
ACWI.US,D,20120810,000000,35.2094,35.4528,35.1026,35.4352,1030317,0
ACWI.US,D,20120813,000000,35.4203,35.4352,35.1796,35.358,810694,0
ACWI.US,D,20120814,000000,35.4751,35.5078,35.2772,35.3747,299626,0
ACWI.US,D,20120815,000000,35.3357,35.414,35.282,35.3284,392720,0
ACWI.US,D,20120816,000000,35.4919,35.7522,35.384,35.7178,408442,0
ACWI.US,D,20120817,000000,35.739,35.7614,35.6304,35.726,203097,0
ACWI.US,D,20120820,000000,35.6471,35.726,35.5002,35.7102,605780,0
ACWI.US,D,20120821,000000,35.9334,36.0317,35.6555,35.7327,359998,0
ACWI.US,D,20120822,000000,35.5292,35.7781,35.4751,35.726,139054,0
ACWI.US,D,20120823,000000,35.6853,35.6853,35.399,35.4444,536138,0
ACWI.US,D,20120824,000000,35.2727,35.6396,35.2642,35.5774,591458,0
ACWI.US,D,20120827,000000,35.5829,35.6693,35.4528,35.4919,297835,0
ACWI.US,D,20120828,000000,35.3405,35.5625,35.3405,35.4919,572874,0
ACWI.US,D,20120829,000000,35.414,35.5225,35.3908,35.4528,1849726,0
ACWI.US,D,20120830,000000,35.2727,35.282,35.0189,35.0701,252611,0
ACWI.US,D,20120831,000000,35.4584,35.4919,35.1081,35.3136,804052,0
ACWI.US,D,20120904,000000,35.3284,35.3395,35.0607,35.2094,603143,0
ACWI.US,D,20120905,000000,35.228,35.2792,35.0793,35.1499,817741,0
ACWI.US,D,20120906,000000,35.3497,35.9511,35.3497,35.9334,535035,0
ACWI.US,D,20120907,000000,36.1822,36.3125,36.1341,36.3125,1129079,0
ACWI.US,D,20120910,000000,36.2661,36.329,36.0254,36.0401,2717931,0
ACWI.US,D,20120911,000000,36.081,36.397,36.081,36.2976,581161,0
ACWI.US,D,20120912,000000,36.4917,36.5225,36.3534,36.4536,912521,0
ACWI.US,D,20120913,000000,36.4398,37.1765,36.3198,37.0893,1053284,0
ACWI.US,D,20120914,000000,37.3077,37.6013,37.2473,37.3459,1306932,0
ACWI.US,D,20120917,000000,37.1765,37.341,37.0893,37.16,667249,0
ACWI.US,D,20120918,000000,37.1162,37.1237,36.9732,37.107,716202,0
ACWI.US,D,20120919,000000,37.1682,37.2389,37.0325,37.1302,222656,0
ACWI.US,D,20120920,000000,36.8049,36.9917,36.6648,36.9583,662984,0
ACWI.US,D,20120921,000000,37.1682,37.2155,36.9388,36.9388,293172,0
ACWI.US,D,20120924,000000,36.6571,36.923,36.6321,36.8356,2943933,0
ACWI.US,D,20120925,000000,36.896,37.0223,36.4835,36.4983,549101,0
ACWI.US,D,20120926,000000,36.3198,36.3775,36.1034,36.2661,457445,0
